Full Name,Pace Total,Shooting Total,Passing Total,Dribbling Total,Defending Total,Physicality Total,Position
Josh Earl,73,45,56,65,65,73,DEF
Christian D'Urso,68,52,68,74,44,54,MID
Heorhii Sudakov,71,64,63,71,39,63,MID
Caner Osmanpaşa,43,32,53,58,71,70,DEF
Paseka Mako,79,42,51,67,68,61,DEF
Thibaut Peyre,61,34,51,51,70,71,DEF
David Affengruber,73,41,51,54,67,72,DEF
Daniel Keita-Ruel,68,69,49,64,35,79,ATK
Úmaro Embaló,84,61,63,73,26,63,MID
Braian Martínez,81,65,59,73,41,62,MID
Björn Meijer,72,52,61,63,64,77,DEF
Mathieu Coutadeur,46,55,69,67,62,70,MID
Matteo Scozzarella,68,63,71,70,56,60,MID
Jérémy Livolant,76,61,65,68,57,68,MID
Marcel Franke,59,31,41,45,68,77,DEF
Víctor Rodríguez Romero,69,69,68,70,41,57,MID
Carlos Arce,69,61,64,61,65,65,MID
Nuno Gonçalo Rocha Moreira,73,66,67,71,33,48,MID
Souffian El Karouani,79,42,61,66,62,66,DEF
Karim Yoda,83,69,61,70,52,68,MID
Florian Ayé,84,67,54,66,24,72,ATK
Reinhold Ranftl,70,56,63,67,60,69,DEF
Eryk Williamson,70,57,67,71,63,69,MID
Vito van Crooij,77,67,64,67,41,68,MID
Dimitrios Goutas,54,45,45,48,68,74,DEF
Gianfranco Chávez,61,27,48,57,68,70,DEF
Sebastian Jung,65,50,65,68,67,64,DEF
Joe Lolley,74,67,66,71,49,53,MID
Philipp Hercher,79,60,62,65,59,74,MID
Melle Meulensteen,67,56,64,64,68,73,MID
Rubin Seigers,68,25,51,51,69,69,DEF
Matthäus Taferner,73,60,65,72,59,57,MID
Oleksandr Andrievskyi,66,50,64,62,64,70,MID
Haji Wright,77,68,53,65,22,74,ATK
Peter Hartley,33,32,48,38,67,86,DEF
Pascal Köpke,71,67,60,70,32,63,ATK
Ramon Pascal Lundqvist,70,67,69,70,57,62,MID
Óscar Barreto,75,61,63,70,33,54,MID
Ricardo Jorge Oliveira António,69,65,64,69,38,53,MID
Edvin Kurtulus,77,39,58,63,68,71,DEF
Dávid Sigér,64,60,61,64,64,73,MID
Malcom Edjouma,63,55,58,67,66,78,DEF
Christoph Daferner,61,68,48,64,29,78,ATK
Jésus Gómez,72,71,67,69,54,51,MID
David Brekalo,73,27,46,57,66,81,DEF
Nathaniel Mendez-Laing,88,63,61,70,51,66,MID
Fallou Diagne,62,41,56,62,66,75,DEF
Víctor Ruiz Abril,70,61,69,74,51,52,MID
Lars Kramer,51,34,48,49,68,75,DEF
Rubén Bentancourt,75,69,58,64,32,63,ATK
Cristhian Paredes,68,63,64,64,65,69,MID
Kasper Kusk,72,64,68,69,38,66,MID
Thorsten Röcher,68,69,63,70,23,69,ATK
Tsuyoshi Watanabe,60,29,46,53,67,75,DEF
İlkay Durmuş,81,64,64,68,54,60,MID
Alessandro Buongiorno,59,44,55,58,69,68,DEF
Davide Maurício Eustáquio Silva,68,62,62,69,33,58,MID
Iván Ledezma,65,66,62,72,32,53,MID
Amer Gojak,69,65,66,68,62,75,ATK
Jakub Kadak,63,67,66,70,41,50,MID
Christian Kühlwetter,73,67,61,70,34,73,ATK
Sofiane Alakouch,72,43,62,65,64,62,DEF
Blendi Idrizi,75,59,63,73,50,52,MID
Daniel Ciofani,53,70,44,57,25,66,ATK
Michiel Kramer,42,67,57,59,38,74,ATK
Timo Becker,76,40,55,58,67,76,DEF
Lucas Viatri,42,72,59,60,40,64,ATK
Fidan Aliti,68,46,57,61,65,82,DEF
Joey Pelupessy,66,54,62,64,66,71,MID
Gabriele Zappa,72,32,60,64,63,58,DEF
Christian Oliva,53,59,66,68,68,66,MID
Stratos Svarnas,73,36,50,50,69,75,DEF
Martín Garay,77,42,53,65,65,48,DEF
Sebastian Stolze,79,64,63,71,29,58,MID
Christian Neiva Afonso,67,48,63,63,65,68,DEF
Thiago Borbas,77,68,52,65,21,57,ATK
Antonio Marin,78,60,66,73,30,66,MID
Julien Le Cardinal,69,31,59,62,66,71,DEF
Fabio González Estupiñán,59,55,61,66,67,67,MID
John García,41,27,38,41,70,73,DEF
Jonatan Álvez,71,67,52,62,29,76,ATK
Jhasmani Campos,65,64,68,70,22,59,MID
Geoff Cameron,46,55,61,62,67,74,DEF
Jordan Rhodes,62,70,53,62,39,60,ATK
Łukasz Zwoliński,72,68,53,66,27,77,ATK
Tom Pettersson,42,51,58,55,66,80,DEF
Bilel Aouacheria,72,64,62,72,38,67,ATK
Moctar Sidi El Hacen,55,60,58,64,66,77,MID
Mikael Lustig,52,53,65,61,70,72,DEF
Mateusz Wieteska,61,33,46,49,67,74,DEF
Mohammed Kamara,78,64,57,71,29,67,ATK
Allyson Aires dos Santos,71,35,49,58,69,70,DEF
Tom van de Looi,68,64,65,68,64,70,MID
Cristian Riveros,33,61,65,66,67,66,MID
Jamie Jacobs,67,66,67,68,60,63,MID
Juan Muñoz Muñoz,62,70,54,68,21,67,ATK
Oscar Wendt,59,61,69,65,67,69,DEF
Cebio Soukou,70,67,63,70,34,72,MID
Esteban Rolón,65,53,63,64,65,66,MID
Jason Cummings,71,68,56,66,37,66,ATK
Tony Watt,73,69,64,68,47,76,ATK
Massimo Luongo,61,62,61,66,67,74,MID
César Araújo,62,53,56,63,63,68,MID
Vas Nuñez,64,33,42,46,69,73,DEF
Manfred Fischer,70,64,66,68,43,72,MID
Ibrahima Koné,77,67,51,65,31,77,ATK
Keanu Baccus,76,53,62,69,68,71,MID
Patrick Burner,79,55,60,68,62,72,DEF
Hyeon Beom Ahn,84,59,63,68,59,68,DEF
Erik Janža,69,49,64,63,61,68,DEF
Nilson Castrillón,70,29,47,55,67,70,DEF
Duncan Watmore,81,67,62,69,36,61,ATK
Achille Anani,90,68,55,67,26,64,ATK
Dimitris Diamantakos,78,69,58,65,29,74,ATK
Ebrima Darboe,62,46,64,65,63,60,MID
Niklas Tauer,66,46,57,66,68,65,DEF
Panutche Amadu Pereira Camará,83,61,62,68,63,73,MID
Jerry Yates,78,68,56,69,29,68,ATK
David Douline,45,57,62,62,66,71,MID
José Guidino,82,39,56,60,62,59,DEF
Hákon Arnar Haraldsson,74,61,64,71,54,64,MID
Alberto Tomás Botía Rabasco,50,50,52,48,66,81,DEF
Jordan Storey,75,27,43,56,68,72,DEF
Fabian Schleusener,76,65,58,67,28,70,ATK
Donis Avdijaj,78,65,62,71,24,60,MID
Antonio Nusa,86,60,59,76,40,46,ATK
Jessy Pi,63,64,63,66,65,76,MID
Joost van Aken,59,34,56,61,67,66,DEF
Simon Lorenz,71,38,51,51,68,76,DEF
Sam Vokes,41,71,59,59,43,82,ATK
Jonathan Perlaza,80,59,63,68,31,59,MID
Juan Carlos Arce,64,68,66,69,38,49,MID
Dominik Frieser,75,65,66,67,44,68,MID
Ángelo Sagal,76,69,66,70,58,72,MID
Marco Sala,72,36,59,66,64,59,DEF
Honglue Zhao,69,35,56,64,63,73,DEF
Gastón Gil Romero,68,53,60,63,65,73,MID
Josh Ruffels,66,51,62,64,64,68,DEF
Percy Liza,73,67,62,72,40,65,ATK
Pablo Moreno Taboada,80,67,55,71,26,60,ATK
Daniel Opare,79,63,62,70,62,68,DEF
Bryan Carabalí,80,34,61,69,60,65,MID
Kevin Sessa,84,58,68,74,61,58,MID
Veysel Sarı,53,52,58,55,67,75,DEF
Jusuf Gazibegović,75,43,62,67,63,69,DEF
Heitor Rodrigues Fonseca,78,35,62,70,61,54,DEF
Reto Ziegler,47,63,71,64,70,69,MID
Zsolt Nagy,80,60,56,64,63,64,DEF
Robert Mühren,55,72,61,65,41,73,ATK
Pedro Velasco,77,52,59,60,62,68,DEF
Luciano Gondou,62,65,53,63,34,77,ATK
Manuel Wintzheimer,66,68,64,67,27,68,ATK
Erlend Dahl Reitan,78,46,58,64,63,72,DEF
Paulo Daniel Azzi Dentello,79,66,61,70,34,64,ATK
Korey Smith,66,55,66,69,67,73,MID
Alexandru Păun,80,66,66,70,33,70,MID
Timo Beermann,39,39,48,43,68,75,DEF
David Čolina,83,40,47,63,65,55,DEF
Róbert Boženík,74,68,61,67,31,73,ATK
Aboubakary Koita,85,70,63,71,45,66,MID
Esteban Orfano,84,62,63,67,55,67,MID
Patrick Ebert,62,65,72,68,57,73,MID
Mateo Coronel,80,65,67,68,36,56,MID
Tarkan Serbest,65,55,65,65,67,72,MID
Theodosis Machairas,80,64,62,71,25,57,MID
Fábio Diogo Agrela Ferreira,68,39,57,64,67,64,DEF
Edward Chilufya,88,59,52,72,27,51,ATK
Ari Skúlason,63,59,67,66,64,65,DEF
Riad Bajić,60,68,54,65,24,64,ATK
Bror Blume,72,61,65,70,61,71,MID
Marin Ljubičić,77,70,54,65,24,70,ATK
Felipe Román,77,43,57,59,62,72,DEF
Damion Lowe,73,26,41,50,65,81,DEF
Alexandre Coeff,49,52,63,63,65,80,MID
Lukas Van Eenoo,53,66,69,67,63,64,MID
Fernando Tobio,54,30,53,45,65,78,DEF
Afonso Miguel Vilhena Taira,51,50,58,68,67,68,MID
Ronaldo Sánchez,72,63,65,63,62,81,MID
Danny Wilson,47,39,53,57,66,80,DEF
Hamdan Al Shamrani,90,54,55,63,60,78,DEF
José Joaquín Matos García,77,49,57,68,59,57,DEF
Simone Branca,71,56,66,67,64,73,MID
Juan Diego Rojas,86,65,57,71,33,62,MID
Dirk Abels,61,43,55,61,67,74,DEF
Andrija Novakovich,75,68,49,62,26,67,ATK
Claudio Riaño,70,66,63,68,22,67,ATK
Ousseynou Thioune,52,53,66,66,65,71,MID
Marius Noubissi,78,68,54,67,35,77,ATK
Andrzej Niewulis,58,40,54,60,66,82,DEF
Dylan Saint-Louis,83,67,61,71,32,63,MID
Matheus Pereira da Silva,69,61,64,74,35,59,MID
Mauro Da Luz,82,67,61,68,30,56,MID
Seung Yong Jung,75,46,55,63,63,74,DEF
Rodney Kongolo,77,55,58,64,64,76,MID
Guram Giorbelidze,79,48,60,67,65,67,DEF
Max Power,56,65,68,66,65,80,MID
Sandi Ogrinec,69,58,66,68,46,65,MID
Cameron Humphreys-Grant,64,32,48,54,68,72,DEF
Nicolas Isimat-Mirin,45,34,52,47,68,72,DEF
Dennis Eckert Ayensa,79,66,49,70,27,63,ATK
Arial Mendy,76,36,63,62,62,69,DEF
Olivier Deman,77,66,62,70,47,69,ATK
Jack Clarke,78,62,62,72,25,54,MID
Metehan Mimaroğlu,82,66,62,70,37,63,MID
Lebogang Phiri,78,53,63,71,68,66,MID
Moisés Delgado López,81,35,58,64,61,65,DEF
Simon Falette,67,45,46,52,65,80,DEF
James Jeggo,68,61,63,65,63,70,MID
Yimmy Congo,67,56,62,66,65,66,MID
Bradley Johnson,48,66,63,65,66,75,MID
Cole Stockton,68,69,52,65,33,79,ATK
Sory Kaba,63,67,57,65,31,78,ATK
Jacob Christensen,69,56,67,69,65,70,MID
Hjörtur Hermannsson,51,34,54,59,67,79,DEF
Jonathan Sabbatini,57,62,69,68,61,67,MID
Kaio Jesus Aldair Porto,78,56,62,66,63,52,DEF
André Filipe Alves Monteiro,68,64,67,72,36,60,MID
Patryk Klimala,82,64,49,66,31,74,ATK
Raúl Rodríguez Navas,41,45,58,46,68,70,DEF
Adalberto Peñaranda,80,68,63,70,36,65,ATK
Robin Krauße,68,38,60,59,65,80,DEF
Kerim Frei,85,61,63,75,35,48,ATK
Tommaso Arrigoni,67,59,69,67,57,71,MID
Nicolás Cordero,68,70,65,67,30,68,ATK
Andi Zeqiri,63,68,59,71,22,67,ATK
Leon Flach,82,54,63,69,67,65,MID
Álvaro Giménez Candela,70,68,59,65,30,68,ATK
José Luis Rodríguez,82,67,59,74,28,68,MID
Homam Ahmed,74,45,59,61,63,68,DEF
Wilmar González,80,64,64,68,47,67,MID
Boris Tomiak,68,43,45,41,67,78,DEF
Ángel Romero,67,68,65,73,61,72,MID
Cebrail Karayel,72,47,62,68,63,73,DEF
Tuur Dierckx,75,66,61,73,19,59,MID
Ramón Sosa,80,63,62,68,48,61,MID
Ramiro González,32,37,45,51,68,77,DEF
Oliver Rathbone,82,60,63,70,64,77,MID
Matthis Abline,78,70,55,72,23,50,ATK
Wilfried Kanga,76,65,59,69,24,78,ATK
Sam Field,59,54,65,66,66,65,MID
Saleh Al Shehri,64,66,49,63,28,73,ATK
Davide Marsura,86,63,61,70,32,66,ATK
Miguel Ângelo Ferreira Magalhães,77,53,63,66,62,54,DEF
Helio Paulo Caldeira Andrade,63,54,60,64,68,72,DEF
Arthur de Oliveira Sales,68,68,51,63,23,69,ATK
Garath McCleary,77,66,63,69,48,67,ATK
Luca Ghiringhelli,77,46,57,63,65,69,DEF
Juan Boselli,71,68,50,71,23,58,ATK
José Cevallos,66,71,69,67,55,69,MID
Oğulcan Çağlayan,73,65,63,69,31,66,MID
Frankie Kent,63,30,48,58,68,75,DEF
Samuel Asamoah,74,57,67,71,63,64,MID
Anass Zaroury,82,66,66,76,27,57,MID
Bruno Miguel Ponces Lourenço,66,61,71,70,46,62,MID
Darío Aimar,61,29,45,49,69,70,DEF
Attila Fiola,70,39,57,60,67,68,DEF
Fabian Rieder,69,61,69,70,50,61,MID
Mike te Wierik,52,48,59,59,69,73,DEF
Daan Heymans,58,69,66,66,56,66,ATK
Juan Zapata,86,70,64,69,30,63,ATK
Manuel Palacios,92,61,57,70,45,74,MID
Johan Bakayoko,86,61,58,71,29,59,MID
Miguel Gutiérrez Ortega,72,47,58,65,65,61,DEF
George Dobson,55,54,64,62,65,76,MID
Nadhir Benbouali,68,67,55,61,24,72,ATK
Sofian Chakla,50,32,50,51,68,67,DEF
Pione Sisto,71,67,66,72,53,63,ATK
Bryan Rabello,71,67,69,73,46,69,MID
Connor Ogilvie,67,43,63,63,65,76,DEF
Gustav Engvall,70,67,58,69,31,71,ATK
Elayis Tavşan,86,62,60,71,24,58,MID
Joe Bell,65,60,67,65,64,77,MID
Juan Acosta,65,44,57,61,69,69,DEF
Gonzalo Goñi,62,28,43,47,67,76,DEF
Regan Charles-Cook,86,61,61,67,53,67,MID
Nahki Wells,73,68,63,69,43,61,ATK
Matías Arezo,66,70,55,69,37,60,ATK
Etienne Amenyido,78,64,58,73,38,71,ATK
Žan Celar,71,69,51,68,27,73,ATK
Cameron Pring,81,47,57,65,62,68,DEF
Kwasi Wriedt,65,67,57,63,30,75,ATK
Loret Sadiku,40,57,58,60,67,67,MID
Yayah Kallon,83,66,58,73,22,64,ATK
Dominic Ball,60,44,58,60,65,73,MID
Timothy Tillman,69,55,65,73,45,64,MID
Kwame Peprah,79,72,54,67,35,68,ATK
Miguel Baeza Pérez,65,62,70,68,43,51,MID
James Collins,60,67,55,65,41,80,ATK
Peter Haring,65,54,67,67,69,76,MID
Keito Nakamura,76,66,60,71,31,68,MID
Steven Ugarković,67,45,61,66,64,77,MID
Colin Kazim-Richards,52,71,66,64,34,78,ATK
Lucas Melano,81,65,61,68,33,67,ATK
Luca Tremolada,76,66,68,68,51,56,MID
Vetle Dragsnes,81,52,59,59,63,77,DEF
Vassilios Lampropoulos,65,42,54,54,70,70,DEF
Iván Márquez Álvarez,40,43,50,50,67,77,DEF
Facundo Mater,70,57,63,70,66,66,MID
Manuel Barreiro Bustelo,55,68,57,66,36,77,ATK
Juan Sánchez Purata,54,48,49,53,67,71,DEF
Benjamín Garré,83,62,60,76,37,55,MID
Nicolás Demartini,62,29,45,49,69,72,DEF
Christian Bravo,79,66,59,71,46,74,MID
Raúl Alberto Lozano,76,50,53,62,66,67,DEF
Charlie Wyke,55,69,57,63,37,76,ATK
Anthony Caceres,71,64,67,71,58,71,MID
Luciano Ursino,69,62,68,70,52,59,MID
Saúl Salcedo,59,33,43,53,68,74,DEF
Francis Mac Allister,68,47,65,69,66,63,MID
Othmane Boussaid,79,61,66,74,44,48,MID
Can Bozdoğan,70,65,66,74,51,61,MID
Franco Escobar,71,47,57,67,66,67,DEF
Jack Taylor,73,65,64,68,63,67,MID
Becir Omeragic,75,40,61,62,66,70,DEF
Jonas David,64,32,59,64,66,72,DEF
Aldair Rodríguez,69,67,56,67,30,74,ATK
Matías Esquivel,84,66,70,74,52,62,MID
Yukhym Konoplia,77,43,63,60,64,62,DEF
Gonzalo Maroni,73,55,64,74,42,54,MID
Ablie Jallow,76,64,64,72,34,45,MID
Min Kyu Song,79,65,58,70,28,71,ATK
Adrián Luna,81,63,66,70,40,45,MID
Mamadou Mbacke,68,34,45,56,67,72,DEF
Christian Chimino,71,50,57,64,64,69,DEF
Husein Balić,90,66,65,68,29,61,MID
Miguel Filipe Nunes Cardoso,73,65,65,71,39,56,MID
Sydney van Hooijdonk,76,70,56,63,26,71,ATK
Juan Camilo Portilla,69,63,64,64,65,70,MID
Mateusz Wdowiak,91,62,61,69,42,58,MID
Francisco Sampaio Moura,70,53,62,70,66,65,DEF
Joaquín Sosa,41,37,60,60,72,67,DEF
Iván Pillud,63,58,65,62,67,74,DEF
Mario Leitgeb,33,55,61,61,68,74,DEF
Young Bin Kim,67,28,48,45,68,77,DEF
Joseph Ceesay,85,56,63,69,52,65,MID
Mattia Bottani,82,66,62,71,43,51,MID
Federico Santander,56,69,61,65,31,75,ATK
Bálint Vécsei,59,67,67,71,60,75,MID
Jannik Dehm,79,49,62,67,63,65,DEF
Maximiliano Caufriez,59,30,57,56,68,72,DEF
Hayao Kawabe,80,66,65,69,65,69,MID
Emanuele Terranova,55,42,46,46,68,72,DEF
Michael Smith,51,68,56,59,30,81,ATK
Nicolás Vargas,63,57,62,58,65,81,DEF
Jack Byrne,72,65,68,69,50,67,MID
Christian Larotonda,65,61,62,63,66,69,MID
Cephas Malele,83,66,47,66,32,82,ATK
Pasquale Schiattarella,73,64,69,70,62,64,MID
Felix Mambimbi,88,64,54,72,24,55,ATK
Matías Soulé,76,63,67,76,29,43,MID
Elvis Mosquera,67,45,61,60,64,75,DEF
Abdulmajeed Al Sulayhim,73,60,67,73,58,64,MID
Kian Hansen,59,47,61,58,67,71,DEF
Anthony Uribe,76,69,46,67,19,68,ATK
Jorge Enrique Flores,71,38,55,59,65,59,DEF
Álvaro Quiroga,65,56,70,64,58,64,MID
Filip Bilbija,72,55,65,68,31,65,MID
Jack Rodwell,66,64,67,68,67,69,DEF
Jonás Acevedo,69,69,63,69,49,54,MID
Tomás Lemos Araújo,69,29,39,52,66,71,DEF
Zhunyi Gao,70,49,60,61,64,72,DEF
Gonzalo Castillo,61,42,47,48,69,65,DEF
Mory Konaté,55,42,53,58,65,77,MID
Kelechi Nwakali,71,61,64,69,57,63,MID
Alessandro Deiola,57,64,62,62,64,77,MID
Khouma Babacar,60,67,53,64,30,72,ATK
Nassim Boujellab,70,60,62,73,50,53,MID
Achilleas Poungouras,61,41,47,49,69,69,DEF
Junio Ricardo da Rocha,71,33,55,64,65,69,DEF
Mauricio Alonso,81,65,60,67,36,60,MID
Eber Moreno,70,43,60,57,63,63,DEF
Eric Martel,66,46,58,59,67,73,DEF
Alimami Gory,87,63,55,71,22,62,ATK
Karol Angielski,73,66,54,64,26,72,ATK
Igor Armaș,33,39,49,39,68,80,DEF
Birkir Bjarnason,64,67,66,67,62,74,MID
Borja Valle Balonga,69,69,64,67,45,62,ATK
Brian Calderara,73,39,52,62,63,53,DEF
Cristian Neguț,80,61,64,67,31,64,MID
Marco Dulca,69,58,63,66,64,77,MID
Rafał Janicki,51,35,55,52,66,75,DEF
Simon Adingra,90,61,53,73,25,50,MID
Eliseu Mendja Nadjack Cassamá,75,43,57,70,61,66,DEF
Julius Biada,57,72,61,68,35,65,MID
Stefan Thesker,49,38,49,50,68,72,DEF
Jae Moon Ryu,65,46,59,60,62,71,MID
Samet Akaydin,57,35,42,48,68,69,DEF
Facundo Zabala,73,32,57,60,62,49,DEF
Gerasimos Mitoglou,60,31,51,45,65,80,DEF
Gilbert Koomson,86,61,62,67,40,63,MID
James Wilson,63,38,51,51,67,76,DEF
Igor Matanović,71,65,52,63,33,70,ATK
Bart van Rooij,78,36,56,65,61,63,DEF
Raúl Torrente Navarro,53,31,51,46,68,67,DEF
Tomáš Přikryl,79,64,61,69,50,61,MID
Anton Tanghe,60,26,51,51,68,69,DEF
Billy Mitchell,67,54,62,68,65,72,MID
Amine Bassi,69,60,67,70,49,59,MID
Richard Neudecker,75,59,68,71,50,69,MID
Hermenegildo Paulo Bartolomeu,80,67,64,75,41,62,MID
Manuel Schäffler,45,70,49,59,32,76,ATK
Juan Fernández Blanco,56,34,48,50,68,64,DEF
Nicolás Thaller,51,31,48,49,68,70,DEF
Yosuke Ideguchi,68,61,64,65,63,69,MID
Ovidiu Popescu,67,59,63,59,65,79,DEF
Pablo López,70,64,65,72,37,57,MID
Lars Sætra,33,37,52,48,66,78,DEF
Samson Akinyoola,65,71,46,62,23,60,ATK
Javier Enrique Delgado Saverio,79,62,59,70,41,57,MID
Mads Fenger,56,44,55,53,65,77,DEF
Mateo Klimowicz,77,57,63,74,31,47,MID
John-Patrick Strauß,78,52,61,67,59,63,DEF
Ignacio Laquintana,87,57,56,68,32,45,MID
Victor Bobsin,61,51,63,63,65,68,MID
Edson Castillo,54,53,61,64,64,67,MID
Marvin Olawale Akinlabi Park,79,61,59,68,19,45,ATK
Luciano Narsingh,80,59,63,70,25,52,MID
Koki Saito,77,66,61,73,24,57,MID
Emmanuel Sabbi,90,61,56,72,38,60,MID
José Manuel Arnáiz Díaz,78,69,61,68,40,62,ATK
Luca Zuffi,52,65,70,65,65,65,MID
Ilias Akhomach Chakkour,72,63,63,70,21,47,MID
Jean-Pierre Archimbaud,61,44,59,62,66,72,MID
Blair Spittal,80,62,64,65,52,59,MID
Doneil Henry,63,36,50,45,61,86,DEF
Ben Wiles,69,61,65,68,61,72,MID
Vukan Savićević,66,63,66,67,61,72,MID
Rolando Aarons,78,62,66,70,39,52,ATK
Dominik Martinović,80,68,54,68,21,65,ATK
Alexandru Mățan,86,56,63,70,35,49,MID
Alan Rodríguez,77,50,66,66,59,53,MID
Euciodálcio Gomes,79,66,64,72,57,63,MID
Darlin Yongwa,85,40,59,65,58,67,DEF
Marcel Risse,61,68,69,67,63,62,MID
Richard Salinas,68,66,65,65,54,66,MID
Martin Angha,71,37,57,64,65,75,DEF
Halid Šabanović,69,37,49,61,67,68,DEF
Braian Rivero,60,43,62,66,63,68,MID
Luca Oyen,77,58,64,72,39,50,MID
Elias K. Hagen,66,55,67,66,61,60,MID
Anderson Cordeiro Costa,78,70,59,70,26,45,ATK
David Robles,59,35,48,44,68,70,DEF
Ethan Finlay,79,62,63,65,42,62,MID
Kelland Watts,59,47,54,57,66,72,DEF
Emmanuel Ntim,81,25,53,54,68,73,DEF
João Rodolfo Botelho Maia,62,52,59,56,69,72,DEF
Rômulo José Pacheco da Silva,75,62,67,68,51,64,MID
Andrea Compagno,48,67,46,59,37,76,ATK
Franck Bambock,65,49,59,64,64,80,DEF
Jonaldo Kauã Santoso Jasper,60,68,50,62,34,66,ATK
Amine Atouchi,58,37,44,39,69,72,DEF
Nicolás Orellana,81,65,61,67,28,72,ATK
Carl Johansson,53,27,44,49,67,73,DEF
Daniel O'Shaughnessy,54,39,57,51,67,74,DEF
Paul Iacob,67,49,58,62,66,76,DEF
Michael Gonçalves Pinto,77,34,61,66,62,65,DEF
Zak Vyner,70,35,56,61,67,71,DEF
Anton Salétros,63,57,69,65,61,69,MID
Koffi Kouao,75,35,50,63,63,66,DEF
Léo Leroy,58,55,67,68,58,66,MID
Andrei Artean,68,64,60,62,64,79,MID
Julián Aude,71,46,62,75,60,64,MID
Josh McEachran,52,46,70,70,63,53,MID
Jamie Bynoe-Gittens,82,58,56,75,24,51,MID
Adam Gnezda Čerin,64,56,66,69,49,61,MID
Diego Falcinelli,56,68,53,67,23,60,ATK
Sami Al Khaibari,55,27,43,40,68,77,DEF
Silvère Ganvoula,81,66,52,60,26,72,ATK
Jhilmar Lora,81,37,58,65,62,64,DEF
Elliot Embleton,73,62,64,67,54,54,MID
Nicola Rauti,66,67,52,65,25,58,ATK
Carl Jenkinson,70,54,63,65,64,70,DEF
Mihai Bălașa,67,51,56,52,67,74,DEF
Florian Jozefzoon,91,57,60,68,35,46,ATK
Braian Aguirre,68,41,55,61,65,71,DEF
Bogdan Racovițan,75,32,38,44,67,75,DEF
Kemal Ademi,53,66,45,58,29,80,ATK
Carlos Rivero,55,33,50,61,66,71,DEF
Rui Jorge Monteiro Mendes,77,66,56,67,29,56,MID
Loum Tchaouna,76,60,63,69,37,53,MID
Fran Supayabe,71,38,55,64,63,63,DEF
Manuel Fuster Lázaro,75,64,62,66,46,47,ATK
Enea Mihaj,61,42,50,48,69,70,DEF
Edenildo Eloi Lagoas Regalo,54,53,64,58,67,69,DEF
Jakob Ankersen,81,60,61,68,47,68,MID
Bryan Bentaberry,76,42,57,62,63,72,DEF
Fausto Antonio Tienza Núñez,61,54,61,64,64,72,MID
Marco Túlio Oliveira Lemos,77,58,65,73,34,60,MID
Martín Manuel Calderón Gómez,67,61,67,63,64,60,MID
Marco Sangalli Fuentes,71,70,66,67,53,61,MID
Connor Ronan,72,65,69,70,54,47,MID
Jayson Molumby,64,51,63,67,61,63,MID
Giannis Papanikolaou,72,56,63,68,62,75,MID
Bryan Passi,32,39,56,55,66,73,DEF
Tobias Müller,66,31,49,56,67,71,DEF
Elias Achouri,79,62,59,69,28,48,MID
Paul Mullin,75,68,56,66,38,72,ATK
Javier Jiménez Moreno,89,35,60,68,61,70,DEF
Jordan Thompson,71,54,67,68,61,65,MID
Marcelo Iván Allende Bravo,68,62,65,73,37,42,MID
Lóránd Pászka,80,40,60,63,59,56,DEF
Shane Ferguson,71,56,63,65,61,68,DEF
Pablo Martínez Andrés,67,59,67,69,58,61,MID
Cade Cowell,88,62,57,69,34,76,MID
Jan Hendrik Marx,90,46,55,64,55,57,DEF
Mathias Fixelles,67,64,67,64,63,72,MID
Anthony Kalik,72,62,65,67,57,75,MID
Ben Thompson,67,60,64,70,63,77,MID
Joe Ward,83,54,63,68,55,53,MID
Jorgino Kaio Baumer Negrão,63,60,64,72,31,53,MID
Ísak Bergmann Jóhannesson,74,61,67,69,57,68,MID
Kevin Varga,82,63,63,67,33,55,MID
Mauro Coppolaro,69,42,53,57,65,73,DEF
Aaron Seydel,66,63,55,66,29,61,ATK
Manuel Guanini,35,33,44,46,68,74,DEF
Andrés Perea,72,50,60,65,65,69,MID
Hernán Rodríguez,77,54,58,66,59,66,MID
Benjamin Santelli,85,65,54,69,26,65,ATK
Marcel Mehlem,75,55,62,67,63,74,MID
Eric Kahl,82,52,61,63,61,65,DEF
Lucas Cueto,87,63,54,71,35,51,ATK
Matteo Cotali,71,40,60,62,63,64,DEF
Joel Asoro,88,65,59,72,21,59,MID
Manuel De Luca,45,69,52,63,34,70,ATK
Jean-Claude Billong,43,33,46,43,67,77,DEF
Liam Millar,82,62,59,69,22,58,MID
Federico Baschirotto,72,53,60,57,67,73,DEF
Bart Vriends,41,32,48,47,66,80,DEF
Eddy Gnahoré,56,64,64,66,64,76,MID
Jaime Arrascaita,79,53,61,69,37,44,MID
Mikkel Kirkeskov,66,51,65,67,60,72,DEF
Tom Hateley,72,55,66,67,64,74,MID
Gaetano Masucci,70,65,59,72,30,47,ATK
Dominik Fitz,70,65,66,69,33,52,MID
Hans Nunoo Sarpei,73,38,57,65,65,68,MID
Louie Sibley,64,63,62,68,54,63,MID
Will Smallbone,65,62,64,72,60,53,MID
Yong Woo Park,58,57,61,60,63,77,MID
Kaan Kanak,74,65,65,69,62,65,DEF
Guy Mbenza,82,67,47,66,23,65,ATK
Erdoğan Yeşilyurt,70,55,65,69,33,61,MID
Ali Sowe,72,66,53,63,29,71,ATK
Emmanuel Lomotey,65,48,55,58,65,83,DEF
Alfredo Ortuño Martínez,60,67,56,62,32,67,ATK
